,date,URL,content,id
34,2022-12-10 23:01:48+00:00,https://twitter.com/fk_689/status/1601713823542833152,"BRUTAL ATTACK!! Footage Ukrainian Armed Forces Destroy Convoy Russian Troops Fleeing Lyman
#Canada #Germany #America #Ukraine #Bakhmut
https://t.co/vWEX2BHAVK",1601713823542833152
35,2022-12-10 23:01:41+00:00,https://twitter.com/CaptainCrusty66/status/1601713793352241152,"@McFaul #Ukraine is sitting in the cold, in the dark, w/o water &amp; they're literally hemorrhaging troops in battle.
Meanwhile, #Russia is steadily pushing them back &amp; receiving 10's of 1000's of reinforcements.
You have a strange idea of what #Winning looks like, Mike. 
My $ is on 🇷🇺.",1601713793352241152
36,2022-12-10 23:01:40+00:00,https://twitter.com/BeardedBrownMa1/status/1601713789715775489,"The Irish have had enough of the Ukrainian 'refugees'. ""Why aren't you in Ukraine fighting for your country"" they ask. #ukraine #UkraineRussiaWar https://t.co/2Bfodxhaua",1601713789715775489
37,2022-12-10 23:01:39+00:00,https://twitter.com/1000news_de/status/1601713783793422336,"10.12.22 Konflikte&amp;Sicherheit 
#Ukraine | Die Verluste des Angreifers #Russland an Mensch und Material sind groß. 
@jaegerthomas2 @jakluge @dgapev @SWP_IntSecurity 
|@umweltzeitung Aber Putin ist 5fach in der Übermacht|&gt;Iris-T+
#Leopard2 Waffenlieferungen https://t.co/6hHIBl3vO4 https://t.co/bf2hSfiDSP",1601713783793422336
38,2022-12-10 23:01:34+00:00,https://twitter.com/yusr35144430/status/1601713764750852097,"Ukraine War   Russian Soldiers Helmet Cam Captures His Unit Coming Under Ukrainian Ambus1
#russia #Germany #Ukraine #Bakhmut #amireca
https://t.co/ekbRAwmYQf",1601713764750852097
39,2022-12-10 23:01:17+00:00,https://twitter.com/ThinkingKyiv/status/1601713691288035328,Great news. Generators from #Germany for #Ukraine. [#Kyiv] https://t.co/1jumbUrsZb,1601713691288035328
40,2022-12-10 23:01:07+00:00,https://twitter.com/Martin_Sauer/status/1601713650339053568,"What's happening?

#Ukraine https://t.co/4h8YtR5cud",1601713650339053568
41,2022-12-10 23:01:05+00:00,https://twitter.com/HiGk2k/status/1601713642525052929,"Russia-Ukraine War: Russia Takes Bakhmut Garbage Dump - November 18th
#Canada #Germany #America #Ukraine #Bakhmut
https://t.co/rGSqpOJac4",1601713642525052929
42,2022-12-10 23:01:01+00:00,https://twitter.com/NikkhahTourage/status/1601713624380190721,"⚠️#CIA  PROPAGANDA OUTLET
#ApartheidIsrael 
Puppet of #Ukraine 
 #CIA/#ISIS/#NATO #Poland #Saudi #Zelensky 
#Germany #Deutschland 
 #فلسطین #ایران #یمن #لبنان #سوریه #عراق 
#Russia #Syria #China https://t.co/5165R2kNom",1601713624380190721
43,2022-12-10 23:00:44+00:00,https://twitter.com/Overchuk_medic/status/1601713555770077184,"@SecBlinken Why, after destroying all #Ukraine’s ballistic missiles in 1990s, you don’t give Ukraine missiles to strike Russian missile bases being used to strike Ukrainian cities?🤔",1601713555770077184
